cub,mean,ci_2.5,ci_97.5,cub_number,litter_size,age_mat
187,12.729454805431079,10.365010766065641,15.431253453167717,1,singleton,middle-aged
188,11.071007868833842,9.44117460964808,12.848383994177679,2,twin,middle-aged
189,11.55235603704401,9.851660462241478,13.407009385228884,2,twin,middle-aged
190,14.005192984198544,11.754111590692064,16.600643560662256,1,singleton,young
191,11.77546647146406,10.078188302517695,13.71099350280915,2,twin,young
192,12.730234023204389,10.895338705424537,14.822695678712591,2,twin,young
193,15.103175577026104,12.127493891665608,18.622571957467795,1,singleton,young
194,11.971857668336355,10.499898089228465,13.654946612914737,2,twin,old
195,12.900287446697131,11.314175900229856,14.713901656365268,2,twin,old
196,12.516199815405551,10.907632231092272,14.374175217656331,2,twin,middle-aged
197,12.24075053889539,10.516480970999222,14.236154041852927,2,twin,middle-aged
198,10.386538833186785,8.396030374961084,12.716486039374109,1,singleton,young
199,11.050134821509566,9.474029543158135,12.876197628037485,2,twin,young
200,12.155148303660523,10.421432497473948,14.163817390841231,2,twin,young
201,13.775705212047107,11.829965673253298,15.85665441001198,2,twin,middle-aged
202,17.82530584057656,15.179567168978027,20.800574950655555,2,twin,middle-aged
203,16.130986915715646,13.392749948155089,19.12775972256869,1,singleton,old
204,18.918824445328713,15.38432854579746,22.919805184636406,1,singleton,young
205,8.5943352568218,7.268880666171324,10.021038331126467,2,twin,old
206,8.5943352568218,7.268880666171324,10.021038331126467,2,twin,old
207,25.759918149230394,22.859003331251614,28.81453352491133,1,singleton,old
208,14.67991190720308,12.305643841257883,17.218907108692946,1,singleton,young
209,11.249189824360716,9.677224661802372,13.013683039445205,2,twin,middle-aged
210,11.152646589439946,9.69643983927672,12.731842970204982,2,twin,middle-aged
211,17.650773657618604,14.844115706249992,20.667480151118347,3,triplet,old
212,13.895828953109698,11.819590433317401,16.123946685691518,3,triplet,old
213,7.969666605459975,6.778882748520275,9.24755765797014,3,triplet,old
214,11.358201360768502,9.791490437126571,12.957651472862189,2,twin,middle-aged
215,12.723863766826994,11.177926366822456,14.370492484418214,2,twin,middle-aged
216,15.506208155199639,13.511700229174892,17.628105196296335,2,twin,young
217,17.719231121126498,15.235038952376758,20.506568349460075,2,twin,young
218,12.119952085491574,10.686107058216681,13.628370256717005,2,twin,middle-aged
219,12.383429304741394,10.918413733395308,13.92463917534129,2,twin,middle-aged
220,11.842957448217625,10.27430599101033,13.57751145243028,2,twin,young
221,11.119345816129641,9.822490149592976,12.478289620372232,2,twin,young
222,10.445214690539892,9.148871484960193,11.863497228722,2,twin,middle-aged
